Time,	Acc X,	Acc Y,	Acc Z,	GYR X,	GYR Y,	GYR Z
1.259379301518604,	-0.17000000178813934,	0.0,	9.5600004196167,	0.0,	-0.125,	-0.0625
1.265026742332589,	-0.1599999964237213,	0.0,	9.5600004196167,	-0.125,	0.0,	-0.0625
1.2706741831465738,	-0.18000000715255737,	0.0,	9.529999732971191,	-0.125,	0.0,	-0.0625
1.2763216239605586,	-0.18000000715255737,	0.0,	9.529999732971191,	0.0625,	-0.0625,	0.0
1.2819690647745432,	-0.15000000596046448,	-0.009999999776482582,	9.550000190734863,	0.0625,	-0.0625,	0.0
1.287616505588528,	-0.18000000715255737,	-0.009999999776482582,	9.5600004196167,	-0.0625,	0.0,	-0.0625
1.2932639464025129,	-0.18000000715255737,	0.0,	9.550000190734863,	-0.0625,	0.0,	-0.0625
1.2989113872164977,	-0.18000000715255737,	0.0,	9.550000190734863,	0.0625,	0.125,	-0.0625
1.3045588280304823,	-0.18000000715255737,	0.0,	9.550000190734863,	-0.0625,	-0.0625,	-0.125
1.3102062688444671,	-0.17000000178813934,	-0.009999999776482582,	9.539999961853027,	-0.0625,	-0.0625,	-0.125
1.315853709658452,	-0.17000000178813934,	-0.009999999776482582,	9.539999961853027,	0.0,	-0.125,	0.0
1.3215011504724368,	-0.15000000596046448,	0.0,	9.569999694824219,	0.0,	-0.125,	0.0
1.3271485912864214,	-0.17000000178813934,	0.0,	9.529999732971191,	-0.125,	0.0,	-0.0625
1.3327960321004062,	-0.17000000178813934,	0.0,	9.520000457763672,	-0.125,	0.0,	-0.0625
1.338443472914391,	-0.17000000178813934,	0.0,	9.520000457763672,	0.125,	-0.1875,	0.0
1.3440909137283759,	-0.18000000715255737,	0.009999999776482582,	9.569999694824219,	0.125,	-0.1875,	0.0
1.3497383545423605,	-0.18000000715255737,	0.0,	9.569999694824219,	0.0625,	0.0625,	-0.1875
1.3553857953563453,	-0.18000000715255737,	0.0,	9.569999694824219,	0.125,	0.125,	-0.25
1.3610332361703301,	-0.18000000715255737,	0.0,	9.539999961853027,	0.125,	0.125,	-0.25
1.366680676984315,	-0.1899999976158142,	0.0,	9.539999961853027,	0.125,	0.0,	-0.0625
1.3723281177982996,	-0.1899999976158142,	0.0,	9.539999961853027,	0.125,	0.0,	-0.0625
1.3779755586122844,	-0.1899999976158142,	0.0,	9.529999732971191,	0.0,	0.0,	-0.1875
1.3836229994262692,	-0.18000000715255737,	-0.009999999776482582,	9.529999732971191,	0.0,	0.0,	-0.1875
1.389270440240254,	-0.17000000178813934,	-0.009999999776482582,	9.5600004196167,	-0.0625,	-0.0625,	0.0
1.3949178810542386,	-0.17000000178813934,	-0.009999999776482582,	9.5600004196167,	-0.0625,	-0.0625,	0.0
1.4005653218682235,	-0.1599999964237213,	0.0,	9.510000228881836,	0.0,	0.125,	0.0625
1.4062127626822083,	-0.17000000178813934,	-0.009999999776482582,	9.539999961853027,	0.0,	0.125,	-0.0625
1.4118602034961931,	-0.17000000178813934,	-0.009999999776482582,	9.539999961853027,	0.0,	0.125,	-0.0625
1.4175076443101777,	-0.1599999964237213,	0.0,	9.5600004196167,	0.0625,	-0.0625,	-0.125
1.4231550851241626,	-0.18000000715255737,	0.0,	9.539999961853027,	0.0625,	-0.0625,	-0.125
1.4288025259381474,	-0.18000000715255737,	0.0,	9.539999961853027,	-0.0625,	-0.0625,	-0.125
1.4344499667521322,	-0.17000000178813934,	0.0,	9.5600004196167,	-0.0625,	-0.0625,	-0.125
